zip_code,male_poverty_rate,female_poverty_rate,median_income,mean_income,poverty_rate
ZCTA5 76137,2.4,9.4,76877,89626,8.6
ZCTA5 76140,3.4,19,52119,67050,16.2
ZCTA5 76148,2.2,8.2,72572,80480,7.5
ZCTA5 76155,4.2,10.2,57912,65962,8.4
ZCTA5 76164,6.4,29.4,35984,46416,26.7
ZCTA5 76177,2.3,3.1,94352,101680,2.9
ZCTA5 76179,1.4,7.1,92742,105865,6.4
ZCTA5 76180,2.8,8.4,59140,75679,8.1
ZCTA5 76182,1.5,6.6,91998,118005,5.2
ZCTA5 76201,4,34.1,33035,45763,32
ZCTA5 76205,5.6,19.8,53949,74258,19.1
ZCTA5 76207,3.1,10.5,68255,88244,9.8
ZCTA5 76208,3.3,9.2,83358,103940,7.6
ZCTA5 76209,4.6,21.4,54438,65832,18.8
ZCTA5 76210,1.6,6.7,95499,106678,5.9
ZCTA5 76225,5.4,10.5,64545,88054,8.7
